Group 1,2:06,Round 3,,Ravines GC - White,,,,,,,,,,,,Round 3,,Ravines GC - White,,,,,,,,,,,,,
Handi:,2-Man Tilt,9,15,13,1,3,5,17,11,7,,,,,,Handi:,4,10,16,14,2,8,18,12,6,,,,,,
Par:,,4,4,3,5,4,4,4,3,5,36,,,,,Par:,4,4,3,4,5,4,4,3,5,36,72,,,,
Hole:,,1,2,3,4,5,6,7,8,9,OUT,,,,,Hole:,10,11,12,13,14,15,16,17,18,IN,Gross,Net,,,
,,,,,,,,,,,,,Key:,,,,,,,,,,,,,,,,,Key:,
,Tee Handi,O,,,O,O,O,,,O,,,,,,,O,,,,O,O,,,O,,,,,,
,,1,0,0,1,1,1,0,0,1,,,,,,,1,0,0,0,1,1,0,0,1,,,,,,
T-Mo,9,5,4,3,7,6,4,5,3,7,44,,12,Alba,,T-Mo,5,4,3,4,5,4,4,4,6,39,83,74,,12,Alba
Drivers,Points:,2,2,2,0,0,4,0,2,0,12,,8,Eagle,,Points:,2,4,2,2,4,8,4,0,2,28,40,,,8,Eagle
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tee Handi,O,,,O,O,O,,,O,,,,,,,O,O,,,O,O,,,O,,,,,,
,,1,0,0,1,1,1,0,0,1,,,,,,,1,1,0,0,1,1,0,0,1,,,,,,
TJSC,10,6,5,3,6,5,5,5,3,6,44,,4,Bird,,TJSC,4,6,4,5,5,4,6,4,6,44,88,78,,4,Bird
Drivers,Points:,0,0,2,2,2,2,0,2,2,12,,2,Par,,Points:,4,0,0,0,4,8,-8,0,2,10,22,,,2,Par
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tee Handi,,,,O,O,O,,,,,,,,,,O,,,,O,,,,,,,,,,
,,0,0,0,1,1,1,0,0,0,,,,,,,1,0,0,0,1,0,0,0,0,,,,,,
Andy,5,4,5,3,6,4,5,4,3,6,40,,0,Bogey,,Andy,4,4,4,4,5,5,6,3,4,39,79,74,,0,Bogey
Irons,Points:,2,0,2,2,4,4,2,2,0,18,,-4,Dub +,,Points:,4,4,0,2,4,0,-4,2,4,16,34,,,-4,Dub +
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tee Handi,,,,O,O,O,,,O,,,,,,,O,,,,O,,,,O,,,,,,
,,0,0,0,1,1,1,0,0,1,,,,,,,1,0,0,0,1,0,0,0,1,,,,,,
House,7,5,4,4,8,5,5,5,2,8,46,,Final Margin,BC Points,,House,7,5,5,4,6,5,5,4,5,46,92,85,,Final Margin,BC Points
Irons,Points:,0,2,0,-4,2,4,0,4,-8,0,,0,2.0,,Points:,-4,0,-4,2,2,0,0,0,4,0,0,,,0,2.0
,,,,,,,,,,,Front,,1-9,2.5,,,,,,,,,,,,Back,Total,Cup Pts,,1-9,2.5
Drivers,Drivers,2,2,4,2,2,6,0,4,2,24,,10-19,3.0,,Drivers,6,4,2,2,8,16,-4,0,4,38,62,3.5,,10-19,3.0
Irons,Irons,2,2,2,-2,6,8,2,6,-8,18,,20-29,3.5,,Irons,0,4,-4,4,6,0,-4,2,8,16,34,0.5,,20-29,3.5
Top Team Margin (+/-),"Top Team
Margin (+/-)",0,0,2,6,2,0,-2,-4,6,6,,30+,4.0,,Margin,12,12,18,16,18,34,34,32,28,22,28,,,30+,4.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Hole,Holes,Point,,,
Drivers,,0,0,1,1,-1,-1,-1,-1,1,,,,,,,1,0,1,-1,1,1,0,-1,-1,Contr,Won,Share,,,
T-Mo,,2,2,2,4,0,4,0,2,8,,,,,,,6,4,6,2,4,8,12,0,2,10.4,5.9,2.02,,,
TJSC,,0,0,2,6,2,2,0,2,10,,,,,,,8,0,4,0,4,8,0,0,2,7.6,4.3,1.48,,,
Irons,,0,0,0,4,0,0,0,0,8,,,,,,,4,0,4,0,0,0,8,0,0,,,,,,
Andy,,2,0,2,6,4,4,2,2,8,,,,,,,8,4,4,2,4,0,4,2,4,12.4,5.4,0.34,,,
House,,0,2,0,0,2,4,0,4,0,,,,,,,0,0,0,2,2,0,8,0,4,5.6,2.4,0.16,,,
