Group 2,1:10,Round 1,,Sundance - Blue,,,,,,,,,,,Round 1 - Group 2,,,,,Sundance - Blue,,,,,,,
Hole:,Dirty Dozen,,Hole:,1,2,3,4,5,6,7,8,9,OUT,,Hole:,10,11,12,13,14,15,16,17,18,IN,TOTAL,NET
Handicap:,,,Handicap:,14,16,11,12,6,8,17,5,2,,,Handi:,9,13,4,18,7,3,10,15,1,,,
Par:,,,Par:,4,4,3,4,4,5,4,3,5,36,,Par:,4,4,4,3,5,4,5,3,4,36,72,
Player,Team,Tee HCP,Net HCP,1,2,3,4,5,6,7,8,9,OUT,,Player,10,11,12,13,14,15,16,17,18,IN,Total Gross,"Total
Net"
,,,,,,,,,,,,,,,,,,,,,,,,O,,,
,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,1,,,
Pace,WEEZ,10,1,5,6,5,5,4,7,4,5,6,47,,Pace,5,4,7,3,4,4,5,3,7,42,89,79
,,,,,,,,O,O,,O,O,,,,,,O,,O,O,,,O,,,
,,,,0,0,0,0,1,1,0,1,1,,,,0,0,1,0,1,1,0,0,1,,,
Weezy,WEEZ,17,8,5,5,3,4,6,7,3,5,9,47,,Weezy,6,4,5,3,5,4,9,5,5,46,93,76
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,
CuzNick,TEES,9,0,5,5,3,6,6,4,4,4,7,44,,CuzNick,4,4,4,4,5,4,5,4,7,41,85,76
,,,,O,O,O,O,O   O,O,O,O   O,O   O,,,,O,O,O   O,O,O,O   O,O,O,O   O,,,
,,,,1,1,1,1,2,1,1,2,2,,,,1,1,2,1,1,2,1,1,2,,,
Saugy,TEES,33,24,5,9,5,5,7,11,5,5,6,58,,Saugy,6,5,5,3,7,7,9,6,8,56,114,81
,,,,,,,,,,,,,Front,,,,,,,,,,,,Back,Overall,
WEEZ,,,,0,6,6,6,12,0,12,0,0,42,,WEEZ,0,6,0,0,12,12,6,12,12,60,102,
TEES,,,,12,6,6,6,0,12,0,12,12,66,,TEES,12,6,12,12,0,0,6,0,0,48,114,BC Pt TOTAL
,,,,,,,,,,,"BC
Points:",WEEZ,0,,,,,,,,,,"BC
Points:",WEEZ,1,0,1
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Hole,Holes,Point
,Match,,,12,6,6,6,12,12,12,12,12,,,,12,3,12,12,6,12,6,12,12,Contr,Won,Share
,WEEZ,,,,,,,,,,,,0,,,,,,,,,,,,8.50,8.50,
Pace,,,,0,0,0,0,12,0,0,0,0,,,,0,3,0,0,6,0,6,12,0,3.25,3.25,0.38
Weezy,,,,0,6,6,6,0,0,12,0,0,,,,0,3,0,0,6,12,0,0,12,5.25,5.25,0.62
,TEES,,,,,,,,,,,,0,,,,,,,,,,,,9.50,9.50,
CuzNick,,,,0,6,6,0,0,12,0,0,0,,,,12,3,0,0,0,0,6,0,0,3.75,3.75,1.18
Saugy,,,,12,0,0,6,0,0,0,12,12,,,,0,3,12,12,0,0,0,0,0,5.75,5.75,1.82
,,,,12,12,12,12,12,12,12,12,12,,,,12,12,12,12,12,12,12,12,12,18.00,,
