Group 3,2:27,Round 3,,The Wolverine - Blue,,,,,,,,,,,Round 3 - Group 3,,,,,The Wolverine - Blue,,,,,,,
Hole:,2-Man Scramble,,Hole:,1,2,3,4,5,6,7,8,9,OUT,,Hole:,10,11,12,13,14,15,16,17,18,IN,TOTAL,NET
Handicap:,,,Handicap:,11,5,1,13,15,3,9,7,17,,,Handi:,4,2,14,10,18,16,8,12,6,,,
Par:,,,Par:,4,4,5,4,3,4,4,5,3,36,,Par:,4,5,3,4,3,4,4,4,5,36,72,
Player,Team,"35%
15%",Net HCP,1,2,3,4,5,6,7,8,9,OUT,,Player,10,11,12,13,14,15,16,17,18,IN,Total Gross,Total Net
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,
T-Mo,WEEZ,6.3,0,4,4,4,4,3,4,4,5,3,35,,T-Mo,4,6,3,4,3,5,4,5,4,38,73,66.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,
Joe O,WEEZ,6.3,0,4,4,4,4,3,4,4,5,3,35,,Joe O,4,6,3,4,3,5,4,5,4,38,73,66.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,
House,TEES,5.9,0,5,4,5,4,3,4,4,6,3,38,,House,3,4,3,4,3,4,4,4,4,33,71,65.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,
TJSC,TEES,5.9,0,5,4,5,4,3,4,4,6,3,38,,TJSC,3,4,3,4,3,4,4,4,4,33,71,65.1
,,,,,,,,,,,,,Front,,,,Back,Match,Only,,Back,Match,Only,,Back,Overall,Total
WEEZ Status,Match - Front,,,1,1,2,2,2,2,2,3,3,1,,Match - Overall,2,1,1,1,1,0,0,-1,-1,0,Overall,1
,,,,,,,,,,,,,,,Match - Back,-1,-2,-2,-2,-2,-3,-3,-4,-4,0,Back,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Holes,Point
,Match,,,1,0,1,0,0,0,0,1,0,,,,-1,-1,0,0,0,-1,0,-1,0,,Won,Share
,WEEZ,,,1,0.5,1,0.5,0.5,0.5,0.5,1,0.5,6,,,0,0,0.5,0.5,0.5,0,0.5,0,0.5,2.5,8.5,
T-Mo,,,,0.5,0.25,0.5,0.25,0.25,0.25,0.25,0.5,0.25,3,,,0,0,0.25,0.25,0.25,0,0.25,0,0.25,1.25,4.25,0.50
Joe O,,,,0.5,0.25,0.5,0.25,0.25,0.25,0.25,0.5,0.25,3,,,0,0,0.25,0.25,0.25,0,0.25,0,0.25,1.25,4.25,0.50
,TEES,,,0,0.5,0,0.5,0.5,0.5,0.5,0,0.5,3,,,1,1,0.5,0.5,0.5,1,0.5,1,0.5,6.5,9.5,
House,,,,0,0.25,0,0.25,0.25,0.25,0.25,0,0.25,1.5,,,0.5,0.5,0.25,0.25,0.25,0.5,0.25,0.5,0.25,3.25,4.75,1.50
TJSC,,,,0,0.25,0,0.25,0.25,0.25,0.25,0,0.25,1.5,,,0.5,0.5,0.25,0.25,0.25,0.5,0.25,0.5,0.25,3.25,4.75,1.50
,,,,1,1,1,1,1,1,1,1,1,9,,,1,1,1,1,1,1,1,1,1,9,18,
