Round 1,,,Sundance - Blue,,,,,,,,,,,,,,,,,,,,,71.4,131,,,Round 1,,,Sundance - Blue,,,,,,,,,,,,,,,,,,,,,71.4,131,,,,,,,,
GROSS,,,Hole,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,OUT,IN,TOTAL,NET,ESC,,NET,,,Hole,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,OUT,IN,TOTAL,CHECK,,,,,,,,
,,$5,Handi,14,16,11,12,6,8,17,5,2,9,13,4,18,7,3,10,15,1,,,,,,,,,$5,Handi,14,16,11,12,6,8,17,5,2,9,13,4,18,7,3,10,15,1,,,,,,Net Pars,Match,,,,,
Player,H,SK G,Par,4,4,3,4,4,5,4,3,5,4,4,4,3,5,4,5,3,4,36,36,72,,,,Player,H,SK N,Par,4,4,3,4,4,5,4,3,5,4,4,4,3,5,4,5,3,4,36,36,72,,,or Better,Royale,Eagles+,Birdies,Pars,Bogies,Doubles+
Telly,8,,,5,4,4,5,4,5,5,4,6,5,4,5,3,5,6,5,5,7,42,45,87,79,87,,Telly,8,Y,,5,4,4,5,3,4,5,3,5,5,4,4,3,4,5,5,5,6,38,41,79,yes,,6.5,7.9,0.0,3.0,7.0,6.0,2.0
KJ,8,,,4,3,3,5,6,6,4,4,5,4,4,6,4,5,4,4,4,6,40,41,81,73,81,,KJ,8,Y,,4,3,3,5,5,5,4,3,4,4,4,5,4,4,3,4,4,5,36,37,73,yes,,8.5,10.0,0.0,5.0,7.0,6.0,0.0
CuzNick,9,,,5,5,3,6,6,4,4,4,7,4,4,4,4,5,4,5,4,7,44,41,85,76,85,,CuzNick,9,Y,,5,5,3,6,5,3,4,3,6,3,4,3,4,4,3,5,4,6,40,36,76,yes,,7.5,8.9,1.0,4.0,5.0,6.0,2.0
R-Mac,9,,,5,4,5,4,4,6,4,4,7,6,4,4,3,5,7,5,4,6,43,44,87,78,87,,R-Mac,9,Y,,5,4,5,4,3,5,4,3,6,5,4,3,3,4,6,5,4,5,39,39,78,yes,,7,8.6,0.0,3.0,8.0,5.0,2.0
House,10,,,6,4,3,4,5,7,5,4,9,6,3,3,4,6,3,5,2,4,47,36,83,73,83,,House,10,Y,,6,4,3,4,4,6,5,3,8,5,3,2,4,5,2,4,2,3,43,30,73,yes,,9,9.7,2.0,4.0,6.0,4.0,2.0
TJSC,14,,,5,5,3,5,5,5,3,4,6,5,4,5,2,7,5,5,3,4,41,40,81,67,81,,TJSC,14,Y,,4,5,2,4,4,4,3,3,5,4,3,4,2,6,4,4,3,3,34,33,67,yes,,11.5,11.8,0.0,7.0,9.0,2.0,0.0
DK,15,,,4,4,3,5,4,6,4,4,5,5,5,6,5,6,7,7,4,7,39,52,91,76,91,,DK,15,Y,,3,4,2,4,3,5,4,3,4,4,4,5,5,5,6,6,3,6,32,44,76,yes,,8.5,9.3,0.0,4.0,9.0,2.0,3.0
