Column 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
Course - Tees,Import @ A3,,,,,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Out,In,Tot,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Par
Sundance - White,69.9,129,6136,Handicap,14,16,11,12,6,8,17,5,2,9,13,4,18,7,3,10,15,1,91,80,171,Par:,4,4,3,4,4,5,4,3,5,4,4,4,3,5,4,5,3,4,72
,,,,Par,4,4,3,4,4,5,4,3,5,4,4,4,3,5,4,5,3,4,36,36,72,,,,,,,,,,,,,,,,,,,,
Sundance - Blue,71.4,131,6481,Handicap,14,16,11,12,6,8,17,5,2,9,13,4,18,7,3,10,15,1,,,,Par:,4,4,3,4,4,5,4,3,5,4,4,4,3,5,4,5,3,4,72
,,,,Par,4,4,3,4,4,5,4,3,5,4,4,4,3,5,4,5,3,4,36,36,72,,,,,,,,,,,,,,,,,,,,
The Wolverine - White,68.7,134,5888,Handicap,11,5,1,13,15,3,9,7,17,4,2,14,10,18,16,8,12,6,,,,Par:,4,4,5,4,3,4,4,5,3,4,5,3,4,3,4,4,4,5,72
,,,,Par,4,4,5,4,3,4,4,5,3,4,5,3,4,3,4,4,4,5,36,36,72,,,,,,,,,,,,,,,,,,,,
The Wolverine - Blue,71.8,138,6487,Handicap,11,5,1,13,15,3,9,7,17,4,2,14,10,18,16,8,12,6,,,,Par:,4,4,5,4,3,4,4,5,3,4,5,3,4,3,4,4,4,5,72
,,,,Par,4,4,5,4,3,4,4,5,3,4,5,3,4,3,4,4,4,5,36,36,72,,,,,,,,,,,,,,,,,,,,
The Bear - White,71.1,139,6122,Handicap,11,3,15,13,1,17,5,7,9,18,4,6,12,16,14,2,8,10,,,,Par:,4,4,5,3,4,5,4,4,3,5,4,4,3,4,5,4,3,4,72
,,,,Par,4,4,5,3,4,5,4,4,3,5,4,4,3,4,5,4,3,4,36,36,72,,,,,,,,,,,,,,,,,,,,
The Loop Red - Middle,68.7,117,6064,Handicap,11,9,7,13,3,17,15,1,5,2,12,14,8,16,6,4,18,10,,,,Par:,4,5,4,3,4,3,4,4,5,4,3,4,5,3,4,4,3,4,70
,,,,Par,4,5,4,3,4,3,4,4,5,4,3,4,5,3,4,4,3,4,36,34,70,,,,,,,,,,,,,,,,,,,,
The Nightmare - Blue/White,69.3,128,6095,Handicap,13,15,5,9,17,3,11,1,7,16,6,18,8,12,4,10,14,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,Par,4,3,4,4,3,5,4,5,4,4,5,3,4,3,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,
The Dream - Blue,71.0,128,6322,Handicap,9,7,5,3,13,11,15,17,1,12,10,16,6,14,4,8,18,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,Par,5,4,4,4,3,4,4,3,5,4,5,3,4,4,4,5,3,4,,,,,,,,,,,,,,,,,,,,,,,
Forest Dunes - ii/iii,71.3,140,6334,Handicap,15,1,13,9,5,11,7,3,17,4,18,10,14,2,6,8,16,12,,,,,,,,,,,,,,,,,,,,,,,
,,,,Par,4,4,3,4,5,4,5,4,3,4,3,4,4,4,5,3,4,5,,,,,,,,,,,,,,,,,,,,,,,
