,,,,"Select Courses/Tees and Games here.  Copy Handi Indices from the Live column and paste into each round AS VALUES.  This will ensure accurate Handicaps are maintained over the course of the competition, even when Indices change as more rounds are added to the Sccore Tracker each day.",,,,,,,,,,,,,,,
,,,,Round 1,Tee Times:,Round 2,Tee Times:,Round 3,Tee Times:,Round 4,Tee Times:,,,,,,,,
,,,,1:00,1:10,8:09,8:18,2:09,2:18,10:10,10:20,,,,,,,,
,,,,1:20,1:30,8:27,8:36,2:27,2:36,10:30,10:40,,,,,,,,
,,,,Course - Tees :,Game:,Course - Tees :,Game:,Course - Tees :,Game:,Course - Tees :,Game:,,,,,,,,
"Teams, Players, Courses, & Handis",,,,Sundance - Blue,Dirty Dozen,The Wolverine - White,Singles Matches,The Wolverine - Blue,2-Man Scramble,The Bear - White,Team Best Ball,,,,,,,,
"Add Players and assign a Team.  
Player name must match their name from Grint Handis tab.",,Source: Bourbon Cup - Grint Handicaps workbook.,,Course Par:,72,Course Par:,72,Course Par:,72,Course Par:,72,,,,,,,,
,,,,Course Rating:,71.4,Course Rating:,68.7,Course Rating:,71.8,Course Rating:,71.1,,,,,,,,
,,,,Course Slope:,131,Course Slope:,134,Course Slope:,138,Course Slope:,139,,,Game Scoring,Points Awarded,,,,
TEES,<-- Team Nm,Handi Index,,Handi Index (Values),Course Handi,Handi Index (Values),Course Handi,Handi Index (Values),Raw Course Handi,Handi Index (Values),Course Handi,Handi,,Game Name,Front,Back,Overall,Scoring Description (use formula),
Telly,TEES,#N/A,,7.5,8,7.5,6,7.5,9.0,7.0,8,7.4,,Column # 1,2,3,4,5,
KJ,TEES,#N/A,,7.8,8,7.7,6,7.7,9.2,7.8,9,7.8,,2-Man Best Ball,1,1,2,"4 Points per Match - 1 Front, 1 Back, 2 Overall",
CuzNick,TEES,#N/A,,8.3,9,8.6,7,8.6,10.3,8.6,10,8.5,,Singles Matches,1,1,1,"3 Points per Match - 1 Front, 1 Back, 1 Overall",
R-Mac,TEES,#N/A,,8.4,9,8.4,7,8.4,10.1,8.0,9,8.3,,Pinehurst,1,1,2,"4 Points per Match - 1 Front, 1 Back, 2 Overall",
House,TEES,#N/A,,9.2,10,8.8,7,8.8,10.5,8.4,9,8.8,,Team Best Ball,1,2,NA,"1 Pt/Hole Front, 2 Pt/Hole Back",Enter count of hole contributions per hole on Scorecard 1
TJSC,TEES,#N/A,,12.5,14,12.0,11,12.0,14.5,12.0,14,12.1,,2-Man Hi Lo,1,1,2,"4 Points per Match - 1 Front, 1 Back, 2 Overall",
DK,TEES,#N/A,,13.4,15,13.4,13,13.4,16.2,13.4,16,13.4,,Shamble,1,1,2,"4 Points per Match - 1 Front, 1 Back, 2 Overall",
Saugy,TEES,#N/A,,29.0,33,29.0,31,29.0,35.2,29.0,35,29.0,,2-Man Scramble,1,1,2,"4 Points per Match - 1 Front, 1 Back, 2 Overall",
WEEZ,<-- Team Nm,Handi Index,,Handi Index,Course Handi,Handi Index,Course Handi,Handi Index,Raw Course Handi,Handi Index,Course Handi,Handi,,2-Man Tilt,0,0,4,4 Points per Match - 4 Overall,
Elger,WEEZ,#N/A,,5.2,5,5.2,3,5.2,6.2,5.2,5,5.2,,Dirty Dozen,1,1,2,"4 Points per Match - 1 Front, 1 Back, 2 Overall",
Andy,WEEZ,#N/A,,6.0,6,6.0,4,6.0,7.1,6.0,6,6.0,,,,,,,
Jensen,WEEZ,#N/A,,6.7,7,6.7,5,6.7,8.0,6.7,7,6.7,,,,,,,
Pace,WEEZ,#N/A,,8.9,10,8.9,7,8.9,10.7,8.9,10,8.9,,,,,,,
T-Mo,WEEZ,#N/A,,9.6,11,9.4,8,9.4,11.3,9.4,11,9.5,,,,,,,
Joe O,WEEZ,#N/A,,13.0,14,13.0,12,13.0,15.7,13.1,15,13.0,,,,,,,
Hile,WEEZ,#N/A,,15.0,17,15.0,14,15.0,18.1,15.0,18,15.0,,,,,,,
Weezy,WEEZ,#N/A,,15.0,17,15.2,15,15.2,18.4,15.1,18,15.1,,,,,,,
Column # 1,2,3,4,5,6,7,8,9,10,11,12,13.0,,,,,,,
