Group 1,1:00,Round 1,,Sundance - Blue,,,,,,,,,,,Round 1 - Group 1,,,,,Sundance - Blue,,,,,,,
Hole:,Dirty Dozen,,Hole:,1,2,3,4,5,6,7,8,9,OUT,,Hole:,10,11,12,13,14,15,16,17,18,IN,TOTAL,NET
Handicap:,,,Handicap:,14,16,11,12,6,8,17,5,2,,,Handi:,9,13,4,18,7,3,10,15,1,,,
Par:,,,Par:,4,4,3,4,4,5,4,3,5,36,,Par:,4,4,4,3,5,4,5,3,4,36,72,
Player,Team,Tee HCP,Net HCP,1,2,3,4,5,6,7,8,9,OUT,,Player,10,11,12,13,14,15,16,17,18,IN,Total Gross,"Total
Net"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,
Elger,WEEZ,5,0,6,5,4,4,6,4,4,3,5,41,,Elger,5,4,6,3,6,5,5,4,9,47,88,83
,,,,,,,,O,,,O,O,,,,,,O,,,O,,,O,,,
,,,,0,0,0,0,1,0,0,1,1,,,,0,0,1,0,0,1,0,0,1,,,
T-Mo,WEEZ,11,6,4,3,4,5,4,4,6,5,6,41,,T-Mo,4,5,8,5,3,8,5,4,4,46,87,76
,,,,,,,,,,,,O,,,,,,O,,,O,,,O,,,
,,,,0,0,0,0,0,0,0,0,1,,,,0,0,1,0,0,1,0,0,1,,,
R-Mac,TEES,9,4,5,4,5,4,4,6,4,4,7,43,,R-Mac,6,4,4,3,5,7,5,4,6,44,87,78
,,,,,,,,,,,O,O,,,,,,O,,,O,,,O,,,
,,,,0,0,0,0,0,0,0,1,1,,,,0,0,1,0,0,1,0,0,1,,,
House,TEES,10,5,6,4,3,4,5,7,5,4,9,47,,House,6,3,3,4,6,3,5,2,4,36,83,73
,,,,,,,,,,,,,Front,,,,,,,,,,,,Back,Overall,
WEEZ,,,,12,12,0,4,12,12,6,6,12,76,,WEEZ,12,0,0,6,12,0,6,0,6,42,118,
TEES,,,,0,0,12,8,0,0,6,6,0,32,,TEES,0,12,12,6,0,12,6,12,6,66,98,BC Pt TOTAL
,,,,,,,,,,,"BC
Points:",WEEZ,1,,,,,,,,,,"BC
Points:",WEEZ,0,2,3
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Hole,Holes,Point
,Match,,,12,12,12,4,12,6,6,6,6,,,,12,12,12,6,12,12,3,12,6,Contr,Won,Share
,WEEZ,,,,,,,,,,,,0,,,,,,,,,,,,9.83,9.83,
Elger,,,,0,0,0,4,0,6,6,6,6,,,,0,0,0,6,0,0,3,0,0,3.08,3.08,0.94
T-Mo,,,,12,12,0,0,12,6,0,0,6,,,,12,0,0,0,12,0,3,0,6,6.75,6.75,2.06
,TEES,,,,,,,,,,,,0,,,,,,,,,,,,8.17,8.17,
R-Mac,,,,0,0,0,4,0,0,6,0,0,,,,0,0,0,6,0,0,3,0,0,1.58,1.58,0.19
House,,,,0,0,12,4,0,0,0,6,0,,,,0,12,12,0,0,12,3,12,6,6.58,6.58,0.81
,,,,12,12,12,12,12,12,12,12,12,,,,12,12,12,12,12,12,12,12,12,18.00,,
