Group 4,2:36,Round 3,,The Wolverine - Blue,,,,,,,,,,,Round 3 - Group 4,,,,,The Wolverine - Blue,,,,,,,
Hole:,2-Man Scramble,,Hole:,1,2,3,4,5,6,7,8,9,OUT,,Hole:,10,11,12,13,14,15,16,17,18,IN,TOTAL,NET
Handicap:,,,Handicap:,11,5,1,13,15,3,9,7,17,,,Handi:,4,2,14,10,18,16,8,12,6,,,
Par:,,,Par:,4,4,5,4,3,4,4,5,3,36,,Par:,4,5,3,4,3,4,4,4,5,36,72,
Player,Team,"35%
15%",Net HCP,1,2,3,4,5,6,7,8,9,OUT,,Player,10,11,12,13,14,15,16,17,18,IN,Total Gross,Total Net
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,
Hile,WEEZ,9.1,0,4,4,5,4,4,4,4,5,3,37,,Hile,4,4,4,4,3,4,5,4,5,37,74,64.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,
Weezy,WEEZ,9.1,0,4,4,5,4,4,4,4,5,3,37,,Weezy,4,4,4,4,3,4,5,4,5,37,74,64.9
,,,,,,O,,,,,,,,,,,O,,,,,,,,,,
,,,,0,0,1,0,0,0,0,0,0,,,,0,1,0,0,0,0,0,0,0,,,
DK,TEES,10.9,2,4,4,5,4,3,5,5,4,2,36,,DK,4,5,3,4,3,5,4,4,5,37,73,62.1
,,,,,,O,,,,,,,,,,,O,,,,,,,,,,
,,,,0,0,1,0,0,0,0,0,0,,,,0,1,0,0,0,0,0,0,0,,,
Saugy,TEES,10.9,2,4,4,5,4,3,5,5,4,2,36,,Saugy,4,5,3,4,3,5,4,4,5,37,73,62.1
,,,,,,,,,,,,,Front,,,,Back,Match,Only,,Back,Match,Only,,Back,Overall,Total
WEEZ Status,Match - Front,,,0,0,-1,-1,-2,-1,0,-1,-2,0,,Match - Overall,-2,-2,-3,-3,-3,-2,-3,-3,-3,0,Overall,0
,,,,,,,,,,,,,,,Match - Back,0,0,-1,-1,-1,0,-1,-1,-1,0,Back,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Holes,Point
,Match,,,0,0,-1,0,-1,1,1,-1,-1,,,,0,0,-1,0,0,1,-1,0,0,,Won,Share
,WEEZ,,,0.5,0.5,0,0.5,0,1,1,0,0,3.5,,,0.5,0.5,0,0.5,0.5,1,0,0.5,0.5,4,7.5,
Hile,,,,0.25,0.25,0,0.25,0,0.5,0.5,0,0,1.75,,,0.25,0.25,0,0.25,0.25,0.5,0,0.25,0.25,2,3.75,0.00
Weezy,,,,0.25,0.25,0,0.25,0,0.5,0.5,0,0,1.75,,,0.25,0.25,0,0.25,0.25,0.5,0,0.25,0.25,2,3.75,0.00
,TEES,,,0.5,0.5,1,0.5,1,0,0,1,1,5.5,,,0.5,0.5,1,0.5,0.5,0,1,0.5,0.5,5,10.5,
DK,,,,0.25,0.25,0.5,0.25,0.5,0,0,0.5,0.5,2.75,,,0.25,0.25,0.5,0.25,0.25,0,0.5,0.25,0.25,2.5,5.25,2.00
Saugy,,,,0.25,0.25,0.5,0.25,0.5,0,0,0.5,0.5,2.75,,,0.25,0.25,0.5,0.25,0.25,0,0.5,0.25,0.25,2.5,5.25,2.00
,,,,1,1,1,1,1,1,1,1,1,9,,,1,1,1,1,1,1,1,1,1,9,18,
