,,,-,,,,,,,,,,,,,,,,,,,,,Hidden Rows >>,,,,Card 1,,,,,Card 2,,,,,Card 3,,,,,Card 4,,,,
,Round 1,,Match 1,,Tee Time:,1:00,,,Match 2,,Tee Time:,1:10,,,Match 3,,Tee Time:,1:20,,,Match 4,,Tee Time:,1:30,,,Game:,Title,Tm 1,Tm 2,Oper 1,Oper 2,Title,Tm 1,Tm 2,Op 1,Op 2,Title,Tm 1,Tm 2,Op 1,Op 2,Title,Tm 1,Tm 2,Op 1,Op 2
,Kaufman - White,,Shot Callers,HC,,Mash Brothers,HC,,Shot Callers,HC,,Mash Brothers,HC,,Shot Callers,HC,,Mash Brothers,HC,,Shot Callers,HC,,Mash Brothers,HC,,Column # 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
,Double Dot,,Telly,7,VS,Andy,8,,T-Mo,13,VS,Jensen,7,,Pace,11,VS,R-Mac,9,,CuzNick,10,VS,Hile,21,,2-Man Best Ball,Match 1,Shot Callers,Mash Brothers,VS,,Match 2,Shot Callers,Mash Brothers,VS,,Match 3,Shot Callers,Mash Brothers,VS,,Match 4,Shot Callers,Mash Brothers,VS,
,"4 Points per Match - 1 Front, 1 Back, 2 Overall",,Joe O,13,,KJ,8,,DK,18,,TJSC,13,,Saugy,31,,House,10,,Weezy,16,,Carp,21,,Singles Matches,Matches 1 & 2,Shot Callers,Mash Brothers,VS,VS,Matches 3 & 4,Shot Callers,Mash Brothers,VS,VS,Matches 5 & 6,Shot Callers,Mash Brothers,VS,VS,Matches 7 & 8,Shot Callers,Mash Brothers,VS,VS
,,,-,,,,,,,,,,,,,,,,,,,,,,,,Pinehurst,Match 1,Shot Callers,Mash Brothers,VS,,Match 2,Shot Callers,Mash Brothers,VS,,Match 3,Shot Callers,Mash Brothers,VS,,Match 4,Shot Callers,Mash Brothers,VS,
,Round 2,,Matches 1 & 2,,Tee Time:,8:06,,,Matches 3 & 4,,Tee Time:,8:15,,,Matches 5 & 6,,Tee Time:,8:24,,,Matches 7 & 8,,Tee Time:,8:33,,,Team Best Ball,Group 1,Mash Brothers,Mash Brothers,,,Group 2,Shot Callers,Shot Callers,,,Group 3,Mash Brothers,Mash Brothers,,,Group 4,Shot Callers,Shot Callers,,
,Quail Ridge - White,,Shot Callers,HC,,Mash Brothers,HC,,Shot Callers,HC,,Mash Brothers,HC,,Shot Callers,HC,,Mash Brothers,HC,,Shot Callers,HC,,Mash Brothers,HC,,Double Dot,Match 1,Shot Callers,Mash Brothers,VS,,Match 2,Shot Callers,Mash Brothers,VS,,Match 3,Shot Callers,Mash Brothers,VS,,Match 4,Shot Callers,Mash Brothers,VS,
,Singles Matches,,Telly,6,VS,R-Mac,8,,CuzNick,9,VS,Jensen,6,,Joe O,11,VS,TJSC,11,,Weezy,14,VS,House,9,,Shamble,Match 1,Shot Callers,Mash Brothers,VS,,Match 2,Shot Callers,Mash Brothers,VS,,Match 3,Shot Callers,Mash Brothers,VS,,Match 4,Shot Callers,Mash Brothers,VS,
,"3 Points per Match - 1 Front, 1 Back, 1 Overall",,T-Mo,12,VS,Carp,19,,Pace,10,VS,Andy,7,,Saugy,27,VS,Hile,19,,DK,17,VS,KJ,7,,2-Man Scramble,Match 1,Shot Callers,Mash Brothers,VS,,Match 2,Shot Callers,Mash Brothers,VS,,Match 3,Shot Callers,Mash Brothers,VS,,Match 4,Shot Callers,Mash Brothers,VS,
